PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,Season_Year,injured,PLAYER_ID_run,TEAM_ABBREVIATION_run,GP_run,MIN,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON_TYPE
203085,Austin Rivers,NOP,21,76,200,69,7.7,1.9,2.3,0,0.02,0.08,0.209,0.482,0.193,2013-14,2013,FALSE,203085,NOP,69,19.4,1.36,0.76,0.6,4.21,4.58,3.82,Regular Season
202340,Avery Bradley,BOS,23,74,180,60,14.9,3.8,1.4,-2.1,0.025,0.097,0.231,0.51,0.079,2013-14,2013,TRUE,202340,BOS,60,30.92,2.26,1.18,1.08,4.39,4.58,4.2,Regular Season
2732,Ben Gordon,CHA,31,75,200,19,5.2,1.4,1.1,4.2,0.01,0.082,0.219,0.422,0.122,2013-14,2013,FALSE,2732,CHA,19,14.67,1.04,0.56,0.48,4.27,4.7,3.85,Regular Season
203463,Ben McLemore,SAC,21,77,195,82,8.8,2.9,1,-4.5,0.024,0.086,0.166,0.485,0.058,2013-14,2013,FALSE,203463,SAC,81,26.77,2.03,1.1,0.93,4.55,4.81,4.28,Regular Season
2757,Beno Udrih,MEM,31,75,210,41,4.9,1.4,2.8,-8.9,0.015,0.085,0.167,0.523,0.278,2013-14,2013,FALSE,2757,MEM,41,15.68,1.17,0.65,0.51,4.47,4.84,4.08,Regular Season
2757,Beno Udrih,MEM,31,75,210,41,4.9,1.4,2.8,-8.9,0.015,0.085,0.167,0.523,0.278,2013-14,2013,FALSE,2757,MEM,7,16.39,1.22,0.71,0.52,4.5,4.97,3.89,Playoffs
203108,Bernard James,DAL,29,82,240,30,0.9,1.4,0.1,-1.3,0.105,0.178,0.106,0.503,0.029,2013-14,2013,FALSE,203108,DAL,30,4.87,0.34,0.18,0.17,4.24,4.27,4.21,Regular Season
203108,Bernard James,DAL,29,82,240,30,0.9,1.4,0.1,-1.3,0.105,0.178,0.106,0.503,0.029,2013-14,2013,FALSE,203108,DAL,2,3.97,0.27,0.13,0.14,3.78,4.84,4.26,Playoffs
202687,Bismack Biyombo,CHA,21,81,245,77,2.9,4.8,0.1,-1.9,0.094,0.235,0.094,0.606,0.012,2013-14,2013,FALSE,202687,CHA,76,13.96,0.97,0.52,0.46,4.2,4.41,3.98,Regular Season
202687,Bismack Biyombo,CHA,21,81,245,77,2.9,4.8,0.1,-1.9,0.094,0.235,0.094,0.606,0.012,2013-14,2013,FALSE,202687,CHA,3,16.09,1.09,0.56,0.53,4.11,4.83,3.55,Playoffs
